pollster,median_date,age,n,loess_weight,party,pct,region
Nanos Research,2021-08-30,2,1200,3.398088489694245,Liberal,0.31,National
Mainstreet Research,2021-08-30,2,1703,3.7088821570174253,Liberal,0.29,National
Nanos Research,2021-08-29,3,1200,3.398088489694245,Liberal,0.33,National
Léger,2021-08-29,3,2005,6.691578763974629,Liberal,0.3,National
Ipsos,2021-08-29,3,1501,6.224366735308985,Liberal,0.31,National
Mainstreet Research,2021-08-29,3,1763,3.741126993765115,Liberal,0.29,National
Research Co.,2021-08-29,3,1000,5.623413251903491,Liberal,0.33,National
EKOS,2021-08-29,3,936,3.19343686757474,Liberal,0.31,National
Nanos Research,2021-08-28,4,1200,3.398088489694245,Liberal,0.31,National
Mainstreet Research,2021-08-28,4,1707,3.7110580935104025,Liberal,0.29,National
EKOS,2021-08-28,4,1226,2.9586433884477863,Liberal,0.29,National
Angus Reid,2021-08-28,4,1639,6.362748223841198,Liberal,0.3,National
Abacus Data,2021-08-27,5,2000,6.68740304976422,Liberal,0.33,National
EKOS,2021-08-27,5,1157,2.9161062524962076,Liberal,0.29,National
Nanos Research,2021-08-27,5,1200,3.398088489694245,Liberal,0.31,National
Mainstreet Research,2021-08-27,5,1759,3.7390031626545213,Liberal,0.28,National
EKOS,2021-08-26,6,1410,3.0639013818592944,Liberal,0.29,National
Nanos Research,2021-08-26,6,1200,3.398088489694245,Liberal,0.31,National
Mainstreet Research,2021-08-26,6,1684,3.698493795108417,Liberal,0.29,National
EKOS,2021-08-25,7,1410,3.0639013818592944,Liberal,0.29,National
Nanos Research,2021-08-25,7,1200,3.398088489694245,Liberal,0.33,National
Mainstreet Research,2021-08-25,7,1619,3.6622761172737652,Liberal,0.31,National
Nanos Research,2021-08-24,8,1200,3.398088489694245,Liberal,0.34,National
Mainstreet Research,2021-08-24,8,1512,3.600205743678508,Liberal,0.32,National
EKOS,2021-08-24,8,1339,3.0245805050892582,Liberal,0.29,National
Nanos Research,2021-08-23,9,1200,3.398088489694245,Liberal,0.36,National
Mainstreet Research,2021-08-23,9,1380,3.51891797962638,Liberal,0.31,National
EKOS,2021-08-23,9,1222,2.9562271811337957,Liberal,0.31,National
Nanos Research,2021-08-22,10,1200,3.398088489694245,Liberal,0.33,National
Ipsos,2021-08-22,10,1500,6.223329772884783,Liberal,0.33,National
Mainstreet Research,2021-08-22,10,1369,3.5118845842842457,Liberal,0.3,National
EKOS,2021-08-22,10,1183,2.932352598334641,Liberal,0.32,National
Angus Reid,2021-08-22,10,1692,6.413573699771935,Liberal,0.33,National
Léger,2021-08-21,11,2002,6.6890742739480915,Liberal,0.33,National
Nanos Research,2021-08-21,11,1200,3.398088489694245,Liberal,0.33,National
Mainstreet Research,2021-08-21,11,1427,3.548504545816834,Liberal,0.32,National
EKOS,2021-08-21,11,1192,2.9379139284220077,Liberal,0.33,National
Earnscliffe Strategy Group,2021-08-21,11,1527,6.251147683838532,Liberal,0.33,National
Nanos Research,2021-08-20,12,1200,3.398088489694245,Liberal,0.34,National
Mainstreet Research,2021-08-20,12,1378,3.5176423158388896,Liberal,0.34,National
Abacus Data,2021-08-20,12,2000,6.68740304976422,Liberal,0.33,National
EKOS,2021-08-20,12,1293,2.998262379809779,Liberal,0.32,National
Nanos Research,2021-08-19,13,1200,3.398088489694245,Liberal,0.34,National
Mainstreet Research,2021-08-19,13,1409,3.5372611230652695,Liberal,0.34,National
EKOS,2021-08-19,13,1444,3.082207001484488,Liberal,0.31,National
