pollster,median_date,mode,n,LV,region,party,pct
Mainstreet Research,2018-01-06,IVR,9830,FALSE,Ontario,Liberal,0.441
Campaign Research,2018-01-11,online,1887,FALSE,Ontario,Liberal,0.43
Forum Research,2018-01-24,IVR,1408,FALSE,Ontario,Liberal,0.4
Abacus Data,2018-01-28,online,1411,FALSE,Ontario,Liberal,0.4
Campaign Research,2018-02-10,online,2227,FALSE,Ontario,Liberal,0.36
Ipsos,2018-03-01,online,1001,FALSE,Ontario,Liberal,0.36
Forum Research,2018-03-01,IVR,941,FALSE,Ontario,Liberal,0.38
Abacus Data,2018-03-04,online,1411,FALSE,Ontario,Liberal,0.38
Angus Reid,2018-03-15,online,5423,FALSE,Ontario,Liberal,0.31
Ipsos,2018-03-23,online,1001,FALSE,Ontario,Liberal,0.26
Mainstreet Research,2018-04-18,IVR,9401,FALSE,Ontario,Liberal,0.434
Forum Research,2018-04-20,IVR,1585,FALSE,Ontario,Liberal,0.37
Ipsos,2018-04-30,online,1907,FALSE,Ontario,Liberal,0.39
Innovative Research,2018-05-02,telephone,1000,FALSE,Ontario,Liberal,0.38
Leger,2018-05-10,online,2103,FALSE,Ontario,Liberal,
Innovative Research,2018-05-14,online,2327,FALSE,Ontario,Liberal,0.38
Forum Research,2018-05-16,IVR,969,FALSE,Ontario,Liberal,0.3
Angus Reid,2018-06-14,online,1023,FALSE,Ontario,Liberal,0.35
Ipsos,2018-06-15,online,1001,FALSE,Ontario,Liberal,0.27
Campaign Research,2018-06-18,online,1579,FALSE,Ontario,Liberal,0.34
Ipsos,2018-06-29,online,1002,FALSE,Ontario,Liberal,0.33
Ipsos,2018-07-16,online,1000,FALSE,Ontario,Liberal,0.39
Mainstreet Research,2018-07-17,IVR,9384,FALSE,Ontario,Liberal,0.405
Abacus Data,2018-07-22,online,2000,FALSE,Ontario,Liberal,0.37
EKOS,2018-07-26,IVR,1302,FALSE,Ontario,Liberal,0.4
Forum Research,2018-08-12,IVR,1777,FALSE,Ontario,Liberal,0.36
Abacus Data,2018-08-20,online,1500,FALSE,Ontario,Liberal,0.36
Abacus Data,2018-08-25,online,1000,FALSE,Ontario,Liberal,0.36
Campaign Research,2018-09-14,online,1486,FALSE,Ontario,Liberal,0.37
Abacus Data,2018-09-19,online,2000,FALSE,Ontario,Liberal,0.42
DART/Maru,2018-09-19,online,5769,FALSE,Ontario,Liberal,0.33
Pollara,2018-09-20,online,1002,FALSE,Ontario,Liberal,0.48
Innovative Research,2018-10-01,online,2410,FALSE,Ontario,Liberal,0.45
Ipsos,2018-10-09,online,2001,FALSE,Ontario,Liberal,0.36
Forum Research,2018-10-10,IVR,1226,FALSE,Ontario,Liberal,0.36
Mainstreet Research,2018-11-07,IVR,7961,FALSE,Ontario,Liberal,0.455
Campaign Research,2018-11-09,online,2512,FALSE,Ontario,Liberal,0.38
Abacus Data,2018-11-13,online,2490,FALSE,Ontario,Liberal,0.43
Leger,2018-11-20,online,1521,FALSE,Ontario,Liberal,0.44
Forum Research,2018-11-29,IVR,1541,FALSE,Ontario,Liberal,0.39
Ipsos,2018-12-12,online,2001,FALSE,Ontario,Liberal,0.39
Campaign Research,2018-12-13,online,1494,FALSE,Ontario,Liberal,0.36
Abacus Data,2018-12-18,online,2000,FALSE,Ontario,Liberal,0.39
Mainstreet Research,2019-01-15,IVR,7941,FALSE,Ontario,Liberal,0.416
Innovative Research,2019-01-20,telephone,2451,FALSE,Ontario,Liberal,0.45
Abacus Data,2019-02-02,online,2500,FALSE,Ontario,Liberal,0.34
Campaign Research,2019-02-09,online,1590,FALSE,Ontario,Liberal,0.33
Abacus Data,2019-02-10,online,2500,FALSE,Ontario,Liberal,0.35
Ipsos,2019-02-18,online,1002,FALSE,Ontario,Liberal,0.32
Leger,2019-02-19,online,1529,FALSE,Ontario,Liberal,0.38
Angus Reid,2019-02-23,online,1009,FALSE,Ontario,Liberal,0.37
Abacus Data,2019-02-24,online,2374,FALSE,Ontario,Liberal,0.35
Forum Research,2019-02-28,IVR,1301,FALSE,Ontario,Liberal,0.36
Abacus Data,2019-03-02,online,1500,FALSE,Ontario,Liberal,0.31
Ipsos,2019-03-03,online,1000,FALSE,Ontario,Liberal,0.31
Innovative Research,2019-03-03,online,2122,FALSE,Ontario,Liberal,0.41
Campaign Research,2019-03-09,online,1893,FALSE,Ontario,Liberal,0.34
Angus Reid,2019-03-18,online,5807,FALSE,Ontario,Liberal,0.33
Leger,2019-03-20,online,1513,FALSE,Ontario,Liberal,0.35
Forum Research,2019-03-20,IVR,1490,FALSE,Ontario,Liberal,0.37
Mainstreet Research,2019-03-22,IVR,8501,FALSE,Ontario,Liberal,0.358
Ipsos,2019-03-26,online,1002,FALSE,Ontario,Liberal,0.28
Campaign Research,2019-04-05,online,2035,FALSE,Ontario,Liberal,0.33
Forum Research,2019-04-05,IVR,1634,FALSE,Ontario,Liberal,0.36
Innovative Research,2019-04-07,online,2527,FALSE,Ontario,Liberal,0.41
Leger,2019-04-20,online,1522,FALSE,Ontario,Liberal,0.29
