region,pollster,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
ON,Angus Reid,2021-09-11,37,32,22,1,,7,LPC +5
ON,EKOS (1/3),2021-09-11,34,34,19,4,,9,Tie
ON,Abacus Data,2021-09-11,38,31,23,3,,3,LPC +7
ON,Counsel Public Affairs,2021-09-11,36,30,24,4,,5,LPC +6
ON,EKOS (1/3),2021-09-10,34,36,18,3,,8,CPC +2
ON,Forum Research,2021-09-10,35,33,17,4,,10,LPC +2
ON,EKOS (1/3),2021-09-09,37,32,19,3,,9,LPC +5
ON,EKOS (1/3),2021-09-08,39,34,15,3,,10,LPC +5
ON,EKOS (1/3),2021-09-07,39,33,13,3,,11,LPC +6
ON,EKOS (1/3),2021-09-06,38,32,15,3,,11,LPC +6
ON,Léger,2021-09-05,36,35,22,2,,4,LPC +1
ON,Ipsos,2021-09-05,35,37,22,2,,4,CPC +2
ON,Abacus Data,2021-09-05,37,34,21,3,,3,LPC +3
ON,EKOS (1/3),2021-09-05,36,33,16,3,,11,LPC +3
ON,Angus Reid,2021-09-05,39,34,19,2,,5,LPC +5
ON,EKOS (1/3),2021-09-04,36,30,20,3,,10,LPC +6
ON,EKOS (1/3),2021-09-03,34,35,18,4,,9,CPC +1
ON,Abacus Data,2021-09-03,36,35,21,3,,4,LPC +1
ON,EKOS (1/3),2021-09-02,35,36,17,4,,7,CPC +1
ON,EKOS (1/3),2021-09-01,32,41,17,4,,6,CPC +9
ON,Léger,2021-08-29,34,35,24,3,,3,CPC +1
ON,Ipsos,2021-08-29,35,33,27,3,,2,LPC +2
ON,Research Co.,2021-08-29,35,36,23,3,,2,CPC +1
ON,EKOS (1/3),2021-08-29,40,32,20,3,,5,LPC +8
ON,EKOS (1/4),2021-08-28,37,36,19,3,,4,LPC +1
ON,Angus Reid,2021-08-28,36,34,22,3,,4,LPC +2
ON,Innovative Research,2021-08-28,36,30,26,4,,,LPC +6
ON,Abacus Data,2021-08-27,39,32,22,2,,4,LPC +7
ON,EKOS (1/4),2021-08-27,35,38,16,4,,7,CPC +3
ON,EKOS (1/4),2021-08-26,34,36,18,4,,8,CPC +2
ON,EKOS (1/4),2021-08-25,33,37,18,4,,8,CPC +4
ON,EKOS (1/4),2021-08-24,35,36,17,4,,8,CPC +1
ON,EKOS (1/4),2021-08-23,37,36,17,4,,6,LPC +1
ON,Ipsos,2021-08-22,31,35,23,6,,4,CPC +4
ON,EKOS (1/4),2021-08-22,37,39,16,4,,5,CPC +2
ON,Angus Reid,2021-08-22,38,32,23,3,,3,LPC +6
ON,Léger,2021-08-21,32,33,25,3,,,CPC +1
ON,EKOS (1/4),2021-08-21,35,39,15,4,,8,CPC +4
ON,Earnscliffe Strategy Group,2021-08-21,37,31,24,4,,3,LPC +6
ON,Abacus Data,2021-08-20,34,29,26,3,,5,LPC +5
ON,EKOS (1/4),2021-08-20,34,38,15,5,,8,CPC +4
ON,EKOS (1/4),2021-08-19,35,36,17,4,,7,CPC +1
ON,EKOS (1/4),2021-08-18,37,33,18,4,,7,LPC +4
ON,EKOS (1/4),2021-08-17,41,31,19,5,,4,LPC +10
ON,Counsel Public Affairs,2021-08-17,36,28,24,5,,,LPC +8
ON,Angus Reid,2021-08-16,40,30,22,3,,5,LPC +10
ON,Ipsos,2021-08-15,40,31,23,3,,,LPC +9
ON,EKOS (1/3),2021-08-15,42,29,20,4,,4,LPC +13
ON,Forum Research,2021-08-15,31,34,18,5,,7,CPC +3
ON,Léger,2021-08-14,37,32,23,4,,3,LPC +5
ON,Mainstreet Research,2021-08-14,40,25,23,4,,6,LPC +15
ON,Abacus Data,2021-08-14,36,30,23,5,,5,LPC +6
ON,EKOS (1/3),2021-08-14,45,33,14,4,,5,LPC +12
ON,Innovative Research,2021-08-14,43,27,23,3,,,LPC +16
ON,Earnscliffe Strategy Group,2021-08-14,38,33,21,6,,1,LPC +5
ON,Léger,2021-08-12,34,30,26,5,,5,LPC +4
ON,Mainstreet Research,2021-08-11,39,28,22,4,,,LPC +11
ON,Abacus Data,2021-08-09,41,28,22,5,,3,LPC +13
ON,Angus Reid,2021-08-09,41,31,20,2,,3,LPC +10
ON,Angus Reid,2021-08-01,41,29,22,3,,5,LPC +12
ON,Léger,2021-07-31,37,32,23,4,,3,LPC +5
ON,Abacus Data,2021-07-31,43,27,21,5,,3,LPC +16
ON,Innovative Research,2021-07-30,47,23,20,6,,,LPC +24
ON,Mainstreet Research,2021-07-25,36,34,18,3,,,LPC +2
ON,Angus Reid,2021-07-25,39,30,21,5,,3,LPC +9
ON,Ipsos,2021-07-20,40,32,20,3,,4,LPC +8
ON,EKOS,2021-07-18,40,28,20,5,,5,LPC +12
ON,Léger,2021-07-17,39,33,22,3,,2,LPC +6
ON,Angus Reid,2021-07-15,36,32,22,4,,5,LPC +4
ON,Léger,2021-07-02,37,31,20,7,,4,LPC +6
ON,Abacus Data,2021-06-29,40,26,22,8,,2,LPC +14
ON,Ipsos,2021-06-20,40,27,23,7,,,LPC +13
ON,Abacus Data,2021-06-20,42,29,19,5,,3,LPC +13
ON,Léger,2021-06-19,35,30,26,5,,,LPC +5
ON,Mainstreet Research,2021-06-13,40,30,18,5,,,LPC +10
ON,Research Co.,2021-06-13,42,32,19,5,,1,LPC +10
ON,Abacus Data,2021-06-13,42,30,20,5,,2,LPC +12
ON,EKOS,2021-06-11,43,27,18,7,,4,LPC +16
ON,Léger,2021-06-05,35,31,24,5,,,LPC +4
ON,Angus Reid,2021-06-05,33,32,25,5,,,LPC +1
ON,Counsel Public Affairs,2021-06-03,38,28,19,8,,,LPC +10
ON,Abacus Data,2021-05-27,40,32,20,5,,3,LPC +8
ON,Léger,2021-05-22,42,28,19,7,,,LPC +14
ON,Mainstreet Research,2021-05-22,41,32,13,8,,,LPC +9
ON,Innovative Research,2021-05-20,43,27,15,9,,,LPC +16
ON,Angus Reid,2021-05-16,39,33,20,4,,2,LPC +6
ON,Léger,2021-05-15,35,33,21,8,,,LPC +2
ON,Ipsos,2021-05-13,41,34,20,3,,,LPC +7
ON,Abacus Data,2021-05-10,44,31,14,6,,,LPC +13
ON,Léger,2021-05-08,40,28,21,7,,,LPC +12
ON,EKOS,2021-05-04,42,25,20,6,,5,LPC +17
ON,Innovative Research,2021-04-30,43,30,15,7,,,LPC +13
ON,Léger,2021-04-24,39,30,21,7,,,LPC +9
ON,Abacus Data,2021-04-23,42,29,20,5,,,LPC +13
ON,EKOS,2021-04-23,40,29,20,7,,,LPC +11
ON,Angus Reid,2021-04-23,39,34,22,4,,1,LPC +5
ON,Ipsos,2021-04-21,43,26,22,7,,,LPC +17
ON,Abacus Data,2021-04-19,44,31,16,7,,,LPC +13
ON,Mainstreet Research,2021-04-18,42,29,16,5,,,LPC +13
ON,Abacus Data,2021-04-12,42,29,20,4,,2,LPC +13
ON,Léger,2021-04-10,37,33,19,8,,,LPC +4
ON,Ipsos,2021-04-08,49,33,12,5,,,LPC +16
ON,Innovative Research,2021-04-08,41,28,20,8,,,LPC +13
ON,Campaign Research,2021-04-07,37,35,18,7,,,LPC +2
ON,Stratcom,2021-04-02,38,31,17,8,,,LPC +7
ON,Abacus Data,2021-03-28,44,28,18,6,,2,LPC +16
ON,Léger,2021-03-27,36,29,25,7,,,LPC +7
ON,Mainstreet Research,2021-03-22,44,34,10,6,,,LPC +10
ON,Abacus Data,2021-03-15,41,28,19,7,,3,LPC +13
ON,Léger,2021-03-13,40,30,22,4,,,LPC +10
ON,Research Co.,2021-03-13,42,28,21,6,,1,LPC +14
ON,Abacus Data,2021-03-04,41,32,18,5,,,LPC +9
ON,Ipsos,2021-03-03,45,32,12,9,,,LPC +13
ON,Angus Reid,2021-03-01,38,32,22,4,,2,LPC +6
ON,Léger,2021-02-27,38,32,22,6,,,LPC +6
ON,Mainstreet Research,2021-02-24,39,31,17,7,,,LPC +8
ON,Angus Reid,2021-02-15,41,30,21,5,,2,LPC +11
ON,Léger,2021-02-13,36,31,21,8,,,LPC +5
ON,Ipsos,2021-02-09,39,30,23,6,,,LPC +9
ON,Abacus Data,2021-02-01,38,32,19,7,,3,LPC +6
ON,Léger,2021-01-30,42,28,23,5,,,LPC +14
ON,Campaign Research,2021-01-29,38,32,19,8,,,LPC +6
ON,Angus Reid,2021-01-22,43,30,21,4,,,LPC +13
ON,Mainstreet Research,2021-01-20,47,31,13,5,,2,LPC +16
ON,Innovative Research,2021-01-20,44,29,14,7,,,LPC +15
ON,Léger,2021-01-16,41,28,23,5,,,LPC +13
ON,EKOS,2021-01-16,40,32,15,7,,4,LPC +8
ON,Abacus Data,2021-01-10,42,32,17,7,,1,LPC +10
ON,Ipsos,2021-01-06,42,29,21,6,,,LPC +13
ON,Léger,2021-01-01,37,32,22,5,,,LPC +5
ON,Abacus Data,2020-12-16,42,31,17,7,,1,LPC +11
ON,Ipsos,2020-12-13,38,34,19,8,,,LPC +4
ON,Research Co.,2020-12-13,43,32,20,5,,1,LPC +11
