region,pollster,rating,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
QC,EKOS,,2021-08-24,30,17,17,4,26,6,LPC +4
QC,EKOS,,2021-08-23,32,18,17,3,25,4,LPC +7
QC,EKOS,,2021-08-22,37,14,16,4,28,3,LPC +9
QC,Ipsos,,2021-08-22,37,19,10,6,27,,LPC +10
QC,Angus Reid,,2021-08-22,36,17,13,2,29,2,LPC +7
QC,Léger,,2021-08-21,37,16,13,3,29,,LPC +8
QC,EKOS,,2021-08-21,39,11,12,3,31,3,LPC +8
QC,Abacus Data,,2021-08-20,34,19,11,3,29,2,LPC +5
QC,EKOS,,2021-08-20,34,17,13,4,27,3,LPC +7
QC,EKOS,,2021-08-19,32,15,17,3,27,4,LPC +5
QC,EKOS,,2021-08-18,33,16,18,4,25,3,LPC +8
QC,EKOS,,2021-08-17,29,19,19,4,24,4,LPC +5
QC,Counsel Public Affairs,,2021-08-17,33,15,12,4,32,,LPC +1
QC,Angus Reid,,2021-08-16,41,15,13,3,25,3,LPC +16
QC,EKOS,,2021-08-15,32,17,20,4,23,3,LPC +9
QC,Ipsos,,2021-08-15,39,17,12,4,28,,LPC +11
QC,Forum Research,,2021-08-15,29,16,9,13,27,5,LPC +2
QC,Léger,,2021-08-12,41,15,8,5,29,1,LPC +12
QC,Mainstreet Research,,2021-08-11,33,23,8,6,25,,LPC +8
QC,Angus Reid,,2021-08-09,34,17,12,6,28,3,LPC +6
QC,Abacus Data,,2021-08-09,37,19,12,5,22,4,LPC +15
QC,Angus Reid,,2021-08-01,38,19,10,3,28,2,LPC +10
QC,Abacus Data,,2021-07-31,36,13,11,8,31,1,LPC +5
QC,Léger,,2021-07-31,36,19,9,4,29,2,LPC +7
QC,Angus Reid,,2021-07-25,37,14,14,3,28,3,LPC +9
QC,Mainstreet Research,,2021-07-25,39,17,7,9,22,,LPC +17
QC,Ipsos,,2021-07-20,37,16,11,3,32,1,LPC +5
QC,EKOS,,2021-07-18,37,18,11,4,24,3,LPC +13
QC,Léger,,2021-07-17,34,14,13,4,30,2,LPC +4
QC,Angus Reid,,2021-07-15,34,16,13,3,31,2,LPC +3
QC,Léger,,2021-07-02,31,17,13,3,32,3,BQ +1
QC,Abacus Data,,2021-06-29,37,17,10,6,29,2,LPC +8
QC,Ipsos,,2021-06-20,40,15,8,3,34,,LPC +6
QC,Abacus Data,,2021-06-20,33,14,5,6,39,3,BQ +6
QC,Léger,,2021-06-19,32,17,12,4,33,,BQ +1
QC,Research Co.,,2021-06-13,39,15,10,6,26,2,LPC +13
QC,Mainstreet Research,,2021-06-13,42,16,8,10,21,,LPC +21
QC,Abacus Data,,2021-06-13,34,14,10,7,35,1,BQ +1
QC,EKOS,,2021-06-11,32,15,9,7,29,5,LPC +3
QC,Léger,,2021-06-05,35,14,15,5,28,,LPC +7
QC,Angus Reid,,2021-06-05,38,17,13,4,25,,LPC +13
QC,Counsel Public Affairs,,2021-06-03,34,14,10,6,33,,LPC +1
QC,Abacus Data,,2021-05-27,42,14,8,6,27,1,LPC +15
QC,Mainstreet Research,,2021-05-22,47,15,6,7,22,,LPC +25
QC,Léger,,2021-05-22,32,20,12,6,30,,LPC +2
QC,Innovative Research,,2021-05-20,34,13,9,7,35,,BQ +1
QC,Angus Reid,,2021-05-16,37,18,11,4,29,,LPC +8
QC,Léger,,2021-05-15,32,23,9,5,29,,LPC +3
