region,pollster,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
ATL,EKOS (1/3),2021-09-06,33,44,10,2,,12,CPC +11
ATL,Léger,2021-09-05,39,27,26,6,,2,LPC +12
ATL,Ipsos,2021-09-05,44,25,26,3,,1,LPC +18
ATL,Abacus Data,2021-09-05,39,32,20,4,,4,LPC +7
ATL,EKOS (1/3),2021-09-05,34,38,19,2,,8,CPC +4
ATL,Angus Reid,2021-09-05,39,37,18,3,,3,LPC +2
ATL,EKOS (1/3),2021-09-04,31,35,26,0,,8,CPC +4
ATL,EKOS (1/3),2021-09-03,37,25,29,3,,6,LPC +8
ATL,Abacus Data,2021-09-03,42,31,22,2,,3,LPC +11
ATL,EKOS (1/3),2021-09-02,42,25,24,3,,6,LPC +17
ATL,EKOS (1/3),2021-09-01,43,26,20,3,,8,LPC +17
ATL,EKOS (1/3),2021-08-31,33,40,17,2,,8,CPC +7
ATL,EKOS (1/3),2021-08-30,31,21,21,2,,5,LPC +10
ATL,Léger,2021-08-29,35,37,24,1,,2,CPC +2
ATL,Ipsos,2021-08-29,53,25,16,2,,2,LPC +28
ATL,Research Co.,2021-08-29,40,33,25,1,,2,LPC +7
ATL,EKOS (1/3),2021-08-29,34,40,21,2,,3,CPC +6
ATL,EKOS (1/4),2021-08-28,42,36,19,0,,3,LPC +6
ATL,Angus Reid,2021-08-28,39,31,23,2,,6,LPC +8
ATL,Innovative Research,2021-08-28,39,32,21,6,,,LPC +7
ATL,Abacus Data,2021-08-27,50,30,19,1,,0,LPC +20
ATL,EKOS (1/4),2021-08-27,43,40,11,1,,6,LPC +3
ATL,EKOS (1/4),2021-08-26,43,36,13,2,,6,LPC +7
ATL,EKOS (1/4),2021-08-25,44,35,13,4,,4,LPC +9
ATL,EKOS (1/4),2021-08-24,37,38,14,5,,5,CPC +1
ATL,EKOS (1/4),2021-08-23,38,34,17,5,,3,LPC +4
ATL,Ipsos,2021-08-22,52,21,18,6,,3,LPC +31
ATL,EKOS (1/4),2021-08-22,43,31,14,5,,5,LPC +12
ATL,Angus Reid,2021-08-22,37,31,27,0,,3,LPC +6
ATL,Léger,2021-08-21,40,33,16,4,,,LPC +7
ATL,EKOS (1/4),2021-08-21,45,29,13,6,,5,LPC +16
ATL,Earnscliffe Strategy Group,2021-08-21,38,32,19,8,,2,LPC +6
ATL,Abacus Data,2021-08-20,42,32,16,2,,3,LPC +10
ATL,EKOS (1/4),2021-08-20,52,23,17,5,,3,LPC +29
ATL,EKOS (1/4),2021-08-19,47,27,20,3,,4,LPC +20
ATL,EKOS (1/4),2021-08-18,39,32,21,4,,3,LPC +7
ATL,EKOS (1/4),2021-08-17,37,29,27,2,,4,LPC +8
ATL,Counsel Public Affairs,2021-08-17,32,29,29,4,,,LPC +3
ATL,Angus Reid,2021-08-16,41,30,20,5,,4,LPC +11
ATL,Ipsos,2021-08-15,49,21,18,9,,,LPC +28
ATL,EKOS (1/3),2021-08-15,33,30,28,3,,6,LPC +3
ATL,Forum Research,2021-08-15,33,28,25,9,,5,LPC +5
ATL,Léger,2021-08-14,41,27,22,7,,2,LPC +14
ATL,Mainstreet Research,2021-08-14,40,30,20,6,,5,LPC +10
ATL,Abacus Data,2021-08-14,47,20,26,3,,2,LPC +21
ATL,EKOS (1/3),2021-08-14,34,20,30,14,,3,LPC +4
ATL,Innovative Research,2021-08-14,49,18,25,6,,,LPC +24
ATL,Earnscliffe Strategy Group,2021-08-14,36,30,21,10,,0,LPC +6
ATL,Léger,2021-08-12,47,24,22,5,,2,LPC +23
ATL,Mainstreet Research,2021-08-11,50,20,16,5,,,LPC +30
ATL,Abacus Data,2021-08-09,47,24,21,5,,3,LPC +23
ATL,Angus Reid,2021-08-09,46,27,17,4,,2,LPC +19
ATL,Angus Reid,2021-08-01,40,26,22,7,,3,LPC +14
ATL,Léger,2021-07-31,50,21,21,4,,4,LPC +29
ATL,Abacus Data,2021-07-31,51,25,14,8,,1,LPC +26
ATL,Innovative Research,2021-07-30,40,27,22,8,,,LPC +13
ATL,Mainstreet Research,2021-07-25,44,29,19,1,,,LPC +15
ATL,Angus Reid,2021-07-25,42,30,21,3,,2,LPC +12
ATL,Ipsos,2021-07-20,48,31,16,3,,2,LPC +17
ATL,EKOS,2021-07-18,53,21,15,8,,2,LPC +32
ATL,Léger,2021-07-17,47,22,21,5,,5,LPC +25
ATL,Angus Reid,2021-07-15,43,32,21,3,,2,LPC +11
ATL,Léger,2021-07-02,39,24,29,4,,3,LPC +10
ATL,Abacus Data,2021-06-29,53,20,20,4,,3,LPC +33
ATL,Ipsos,2021-06-20,46,25,22,5,,,LPC +21
ATL,Abacus Data,2021-06-20,50,27,13,5,,4,LPC +23
ATL,Léger,2021-06-19,41,29,19,6,,,LPC +12
ATL,Mainstreet Research,2021-06-13,51,25,17,4,,,LPC +26
ATL,Research Co.,2021-06-13,49,32,14,4,,1,LPC +17
ATL,Abacus Data,2021-06-13,46,30,15,10,,0,LPC +16
ATL,EKOS,2021-06-11,57,19,14,8,,0,LPC +38
ATL,Léger,2021-06-05,41,23,25,8,,,LPC +16
ATL,Angus Reid,2021-06-05,44,30,16,4,,,LPC +14
ATL,Counsel Public Affairs,2021-06-03,37,24,19,11,,,LPC +13
ATL,Abacus Data,2021-05-27,45,24,12,9,,2,LPC +21
ATL,Léger,2021-05-22,41,34,21,5,,,LPC +7
ATL,Mainstreet Research,2021-05-22,45,32,15,3,,,LPC +13
ATL,Innovative Research,2021-05-20,47,29,13,8,,,LPC +18
ATL,Angus Reid,2021-05-16,43,32,14,10,,1,LPC +11
ATL,Léger,2021-05-15,54,21,17,7,,,LPC +33
ATL,Ipsos,2021-05-13,50,22,26,2,,,LPC +24
ATL,Abacus Data,2021-05-10,41,21,20,12,,,LPC +20
ATL,Léger,2021-05-08,44,31,23,2,,,LPC +13
ATL,EKOS,2021-05-04,41,26,21,10,,1,LPC +15
ATL,Innovative Research,2021-04-30,49,17,19,13,,,LPC +30
ATL,Léger,2021-04-24,41,33,14,12,,,LPC +8
ATL,Abacus Data,2021-04-23,50,25,16,7,,,LPC +25
ATL,EKOS,2021-04-23,40,30,11,10,,,LPC +10
ATL,Angus Reid,2021-04-23,46,26,15,11,,2,LPC +20
ATL,Ipsos,2021-04-21,61,24,12,2,,,LPC +37
ATL,Abacus Data,2021-04-19,54,15,19,8,,,LPC +35
ATL,Mainstreet Research,2021-04-18,48,27,15,6,,,LPC +21
ATL,Abacus Data,2021-04-12,46,23,13,12,,4,LPC +23
ATL,Léger,2021-04-10,46,26,16,9,,,LPC +20
ATL,Ipsos,2021-04-08,56,24,11,3,,,LPC +32
ATL,Innovative Research,2021-04-08,48,25,13,8,,,LPC +23
ATL,Campaign Research,2021-04-07,47,25,14,10,,,LPC +22
ATL,Stratcom,2021-04-02,35,32,17,8,,,LPC +3
ATL,Abacus Data,2021-03-28,51,26,15,6,,1,LPC +25
ATL,Léger,2021-03-27,45,25,18,9,,,LPC +20
ATL,Mainstreet Research,2021-03-22,46,38,6,7,,,LPC +8
ATL,Abacus Data,2021-03-15,45,24,19,10,,1,LPC +21
ATL,Léger,2021-03-13,46,30,12,10,,,LPC +16
ATL,Research Co.,2021-03-13,46,30,15,7,,1,LPC +16
ATL,Abacus Data,2021-03-04,42,23,18,13,,,LPC +19
ATL,Ipsos,2021-03-03,38,33,14,14,,,LPC +5
ATL,Angus Reid,2021-03-01,44,28,18,6,,2,LPC +16
ATL,Léger,2021-02-27,49,20,15,16,,,LPC +29
ATL,Mainstreet Research,2021-02-24,52,22,17,8,,,LPC +30
ATL,Angus Reid,2021-02-15,43,29,19,6,,2,LPC +14
ATL,Léger,2021-02-13,58,16,14,11,,,LPC +42
ATL,Ipsos,2021-02-09,53,21,10,11,,,LPC +32
ATL,Abacus Data,2021-02-01,39,34,11,11,,4,LPC +5
ATL,Léger,2021-01-30,46,24,22,7,,,LPC +22
ATL,Campaign Research,2021-01-29,47,22,18,9,,,LPC +25
ATL,Angus Reid,2021-01-22,43,26,21,9,,,LPC +17
ATL,Mainstreet Research,2021-01-20,52,27,10,6,,4,LPC +25
ATL,Innovative Research,2021-01-20,47,26,15,8,,,LPC +21
ATL,Léger,2021-01-16,41,27,21,9,,,LPC +14
ATL,EKOS,2021-01-16,38,24,16,12,,7,LPC +14
ATL,Abacus Data,2021-01-10,38,29,17,9,,5,LPC +9
ATL,Ipsos,2021-01-06,43,25,25,9,,,LPC +18
ATL,Léger,2021-01-01,48,17,24,7,,,LPC +24
ATL,Abacus Data,2020-12-16,38,27,20,11,,2,LPC +11
ATL,Ipsos,2020-12-13,53,12,23,12,,,LPC +30
ATL,Research Co.,2020-12-13,44,28,19,8,,1,LPC +16
ATL,Léger,2020-12-12,49,20,21,3,,,LPC +28
ATL,Campaign Research,2020-12-02,40,26,27,7,,,LPC +13
ATL,Léger,2020-11-28,45,27,17,11,,,LPC +18
ATL,Angus Reid,2020-11-27,47,30,15,6,,,LPC +17
ATL,Mainstreet Research,2020-11-25,47,24,12,8,,8,LPC +23
ATL,Ipsos,2020-11-22,52,29,6,11,,,LPC +23
ATL,Abacus Data,2020-11-21,47,24,16,10,,2,LPC +23
ATL,EKOS,2020-11-20,41,34,7,8,,8,LPC +7
ATL,Léger,2020-11-14,48,23,13,8,,,LPC +25
ATL,Abacus Data,2020-11-09,41,24,21,9,,6,LPC +17
ATL,Léger,2020-11-07,43,28,19,7,,,LPC +15
ATL,Angus Reid,2020-11-07,47,28,14,9,,,LPC +19
ATL,Léger,2020-10-31,47,24,20,5,,,LPC +23
ATL,Ipsos,2020-10-25,39,41,10,9,,,CPC +2
ATL,Léger,2020-10-24,55,17,20,8,,,LPC +35
ATL,Mainstreet Research,2020-10-21,43,30,18,7,,3,LPC +13
ATL,EKOS,2020-10-18,51,25,9,8,,8,LPC +26
ATL,Léger,2020-10-17,46,26,16,10,,,LPC +20
ATL,Léger,2020-10-10,57,29,9,4,,,LPC +28
ATL,Léger,2020-10-03,55,26,15,4,,,LPC +29
ATL,Léger,2020-09-26,41,34,14,7,,,LPC +7
ATL,Abacus Data,2020-09-26,43,26,19,7,,,LPC +17
ATL,Mainstreet Research,2020-09-23,45,37,11,4,,0,LPC +8
ATL,Abacus Data,2020-09-20,54,25,13,7,,,LPC +29
ATL,Léger,2020-09-19,46,24,22,8,,,LPC +22
ATL,Ipsos,2020-09-13,43,33,14,10,,,LPC +10
ATL,Campaign Research,2020-09-13,57,16,14,12,,,LPC +41
ATL,Léger,2020-09-12,44,23,20,9,,,LPC +21
ATL,Research Co.,2020-09-12,45,39,11,5,,1,LPC +6
ATL,Innovative Research,2020-09-10,40,30,22,7,,,LPC +10
ATL,Léger,2020-09-05,49,28,17,6,,,LPC +21
ATL,Abacus Data,2020-09-01,39,30,20,8,,2,LPC +9
ATL,Angus Reid,2020-08-30,46,30,16,6,,,LPC +16
ATL,Léger,2020-08-29,57,12,23,7,,,LPC +34
ATL,Léger,2020-08-22,44,27,12,14,,,LPC +17
ATL,Innovative Research,2020-08-22,47,26,17,7,,,LPC +21
ATL,Ipsos,2020-08-18,52,21,14,11,,,LPC +31
ATL,Abacus Data,2020-08-17,38,19,22,12,,6,LPC +16
ATL,Léger,2020-08-15,40,29,13,14,,,LPC +11
ATL,Innovative Research,2020-08-13,41,29,16,10,,,LPC +12
ATL,Campaign Research,2020-08-12,28,35,22,10,,,CPC +7
ATL,Léger,2020-08-08,52,22,17,8,,,LPC +30
ATL,Léger,2020-08-01,54,19,16,9,,,LPC +35
ATL,Abacus Data,2020-07-28,44,25,14,10,,3,LPC +19
ATL,Léger,2020-07-25,37,34,17,11,,,LPC +3
ATL,EKOS,2020-07-20,45,28,14,9,,1,LPC +17
ATL,Léger,2020-07-18,42,31,15,9,,,LPC +11
ATL,Innovative Research,2020-07-17,49,27,12,8,,,LPC +22
ATL,Abacus Data,2020-07-15,35,39,17,2,,,CPC +4
ATL,Léger,2020-07-11,56,19,16,8,,,LPC +37
ATL,Léger,2020-07-04,50,13,21,13,,,LPC +29
