region,pollster,median_date,Liberal,Conservative,NDP,Green,Bloc,People's,lead
BC,Research Co.,2021-09-19,25,33,31,6,,5,CPC +2
BC,EKOS (1/3),2021-09-18,20,31,32,7,,8,NDP +1
BC,Abacus Data,2021-09-18,23,35,32,6,,3,CPC +3
BC,Counsel Public Affairs,2021-09-17,24,31,30,9,,6,CPC +1
BC,Ipsos,2021-09-17,26,34,30,5,,4,CPC +4
BC,EKOS (1/3),2021-09-17,19,31,33,7,,8,NDP +2
BC,Angus Reid,2021-09-17,20,36,30,8,,4,CPC +6
BC,Abacus Data (1/3),2021-09-17,20,36,33,8,,4,CPC +3
BC,EKOS (1/3),2021-09-16,21,33,32,8,,6,CPC +1
BC,Léger,2021-09-16,27,34,29,4,,6,CPC +5
BC,Abacus Data (1/3),2021-09-16,21,40,27,7,,4,CPC +13
BC,Abacus Data (1/3),2021-09-15,20,35,34,7,,4,CPC +1
BC,EKOS (1/3),2021-09-15,21,36,28,6,,7,CPC +8
BC,Campaign Research,2021-09-15,29,30,33,5,,3,NDP +3
BC,Abacus Data (1/3),2021-09-14,22,34,31,8,,4,CPC +3
BC,EKOS (1/3),2021-09-14,26,28,27,9,,9,CPC +1
BC,EKOS (1/3),2021-09-13,22,30,33,8,,6,NDP +3
BC,Léger,2021-09-12,31,33,28,4,,4,CPC +2
BC,Ipsos,2021-09-12,29,28,31,4,,6,NDP +2
BC,Research Co.,2021-09-12,28,30,29,7,,4,CPC +1
BC,EKOS (1/3),2021-09-12,25,30,32,6,,6,NDP +2
BC,Innovative Research,2021-09-11,24,32,34,6,,,NDP +2
BC,Angus Reid,2021-09-11,21,33,35,5,,4,NDP +2
BC,EKOS (1/3),2021-09-11,22,31,31,8,,6,Tie
BC,Abacus Data,2021-09-11,31,29,31,5,,3,Tie
BC,Counsel Public Affairs,2021-09-11,24,30,31,9,,5,NDP +1
BC,EKOS (1/3),2021-09-10,24,31,27,9,,8,CPC +4
BC,Forum Research,2021-09-10,24,31,27,4,,11,CPC +4
BC,EKOS (1/3),2021-09-09,18,30,29,11,,11,CPC +1
BC,EKOS (1/3),2021-09-08,23,29,25,8,,13,CPC +4
BC,EKOS (1/3),2021-09-07,25,32,26,9,,8,CPC +6
BC,EKOS (1/3),2021-09-06,31,33,25,7,,4,CPC +2
BC,Léger,2021-09-05,33,31,28,6,,2,LPC +2
BC,Ipsos,2021-09-05,29,30,35,4,,3,NDP +5
BC,Abacus Data,2021-09-05,29,27,35,6,,2,NDP +6
BC,EKOS (1/3),2021-09-05,26,31,30,9,,4,CPC +1
BC,Angus Reid,2021-09-05,28,33,33,3,,2,Tie
BC,EKOS (1/3),2021-09-04,22,34,26,11,,7,CPC +8
BC,EKOS (1/3),2021-09-03,25,31,24,11,,9,CPC +6
BC,Abacus Data,2021-09-03,30,30,32,6,,2,NDP +2
BC,EKOS (1/3),2021-09-02,25,31,23,10,,10,CPC +6
BC,EKOS (1/3),2021-09-01,30,28,26,7,,10,LPC +2
BC,EKOS (1/3),2021-08-31,24,30,31,6,,7,NDP +1
BC,EKOS (1/3),2021-08-30,19,44,21,8,,6,CPC +23
BC,Léger,2021-08-29,32,26,35,5,,1,NDP +3
